#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
592	NM_001017064	GL172637	-	970012	984855	970833	984842	8	970012,971957,974972,977060,977894,978308,980869,984775,	970860,972148,975024,977130,977972,978392,980918,984855,	0	atp6v0b	cmpl	cmpl	0,1,0,2,2,2,1,0,
592	NM_001113896	GL172637	-	1022874	1045391	1026472	1045386	6	1022874,1026466,1037585,1038459,1043003,1045247,	1023045,1026697,1037694,1038588,1043103,1045391,	0	folr4	cmpl	cmpl	-1,0,2,2,1,0,
594	NM_001017229	GL172637	-	1255300	1268561	1256030	1268323	10	1255300,1256614,1257037,1257682,1259498,1260661,1261499,1262019,1263251,1268217,	1256229,1256785,1257112,1257859,1259641,1260787,1261680,1262118,1263360,1268561,	0	pik3r3	cmpl	cmpl	2,2,2,2,0,0,2,2,1,0,
598	NM_001016107	GL172637	+	1718931	1724455	1718942	1723207	7	1718931,1720978,1721490,1722177,1722360,1722640,1723147,	1718999,1721188,1721565,1722276,1722513,1722724,1724455,	0	tspan1	cmpl	cmpl	0,0,0,0,0,0,0,
598	NM_001128021	GL172637	-	1762372	1786505	1762656	1786423	22	1762372,1767763,1768151,1769076,1769387,1772732,1773159,1773704,1774047,1775305,1776792,1777502,1779051,1779679,1780431,1781483,1781723,1782408,1783494,1784394,1785201,1786303,	1762744,1767873,1768287,1769121,1769452,1772858,1773288,1773777,1774106,1775347,1776876,1777578,1779122,1779807,1780509,1781504,1781841,1782522,1783560,1784510,1785304,1786505,	0	pomgnt1	cmpl	cmpl	2,0,2,2,0,0,0,2,0,0,0,2,0,1,1,1,0,0,0,1,0,0,
600	NM_001011356	GL172637	+	2063509	2088350	2063514	2088100	14	2063509,2071588,2072087,2073856,2075999,2076441,2077170,2081499,2082991,2084252,2084938,2086532,2087319,2087968,	2063703,2071732,2072221,2074063,2076040,2076566,2077296,2081597,2083091,2084296,2084978,2086641,2087465,2088350,	0	faah.2	cmpl	cmpl	0,0,0,2,2,1,0,0,2,0,2,0,1,0,
600	NM_001001241	GL172637	+	1991736	2005668	1991736	2005275	14	1991736,1993035,1993640,1996338,1998248,1998726,1999621,2000871,2001110,2001714,2002149,2003309,2004433,2005073,	1991857,1993096,1993776,1996408,1998537,1998851,1999773,2001008,2001221,2001838,2002228,2003489,2004597,2005668,	0	rad54l	incmpl	cmpl	2,0,1,2,0,1,0,2,1,1,2,0,0,2,
600	NM_001007929	GL172637	+	2039693	2061339	2039713	2061339	5	2039693,2041130,2041706,2042430,2061231,	2039797,2041549,2041861,2042591,2061339,	0	nsun4	cmpl	incmpl	0,0,2,1,0,
604	NM_001008050	GL172637	-	2501759	2522822	2502647	2519563	12	2501759,2503409,2503754,2505563,2506363,2508452,2511858,2513737,2515604,2517828,2519463,2522763,	2502888,2503453,2503919,2505758,2506459,2508508,2511902,2513812,2515684,2517926,2519565,2522822,	0	mknk1	cmpl	cmpl	2,0,0,0,0,1,1,2,0,1,0,-1,
604	NM_001008069	GL172637	-	2581072	2591865	2581349	2591798	9	2581072,2583393,2585258,2585826,2586126,2587168,2588310,2589825,2591607,	2581556,2583501,2585354,2585874,2586177,2587231,2588349,2589934,2591865,	0	atpaf1	cmpl	cmpl	0,0,0,0,0,0,0,2,0,
604	NM_203790	GL172637	+	2595523	2601602	2595564	2601489	9	2595523,2597553,2597832,2599632,2600080,2600327,2600877,2601098,2601387,	2595585,2597694,2597937,2599809,2600239,2600564,2601018,2601209,2601602,	0	ccnb1.2	cmpl	cmpl	0,0,0,0,0,0,0,0,0,
605	NM_001126601	GL172637	+	2642805	2657154	2642821	2656963	12	2642805,2645297,2646752,2649375,2651213,2651678,2652300,2652759,2653816,2655684,2656485,2656794,	2643010,2645442,2646797,2649503,2651338,2651830,2652407,2652950,2653950,2655749,2656568,2657154,	0	cyp4b1	cmpl	cmpl	0,0,1,1,0,2,1,0,2,1,0,2,
605	NM_001017348	GL172637	+	2660829	2673154	2660830	2672548	12	2660829,2664010,2664241,2665702,2666037,2667072,2667428,2670966,2671408,2671998,2672203,2672379,	2661034,2664155,2664286,2665830,2666162,2667224,2667535,2671157,2671542,2672063,2672286,2673154,	0	cyp4b1.2	cmpl	cmpl	0,0,1,1,0,2,1,0,2,1,0,2,
606	NM_001141996	GL172637	-	2817065	2828169	2819447	2824226	4	2817065,2820910,2823573,2828123,	2819866,2821005,2824289,2828169,	0	tal1	cmpl	cmpl	1,2,0,-1,
606	NM_001097183	GL172637	-	2839397	2859811	2839938	2857506	16	2839397,2841464,2841775,2843350,2843847,2844166,2845589,2846790,2846995,2847520,2849308,2852212,2853465,2854797,2857423,2859624,	2840767,2841700,2841944,2843564,2843989,2845153,2845692,2846900,2847143,2847607,2849392,2852460,2853655,2854905,2857509,2859811,	0	stil	cmpl	cmpl	2,0,2,1,0,0,2,0,2,2,2,0,2,2,0,-1,
621	NM_001103073	GL172637	-	4778693	4783757	4779353	4783101	3	4778693,4782665,4783221,	4780231,4783168,4783757,	0	dmrta2	cmpl	cmpl	1,0,-1,
622	NM_001123460	GL172637	+	4935991	4940768	4936533	4940655	3	4935991,4936206,4940277,	4936093,4936662,4940768,	0	cdkn2c	cmpl	cmpl	-1,0,0,
623	NM_001016774	GL172637	-	5066631	5107484	5067013	5107379	18	5066631,5067932,5070023,5071820,5072490,5075780,5076276,5076566,5077905,5078094,5080691,5082702,5083065,5084038,5084327,5084832,5092091,5107356,	5067110,5068049,5070138,5071932,5072611,5075872,5076438,5076626,5077973,5078203,5080757,5082802,5083130,5084106,5084404,5084964,5092196,5107484,	0	ttc39a	cmpl	cmpl	2,2,1,0,2,0,0,0,1,0,0,2,0,1,2,2,2,0,
623	NM_001016437	GL172637	+	5036239	5052372	5036334	5051042	3	5036239,5048188,5050870,	5036457,5048358,5052372,	0	rnf11	cmpl	cmpl	0,0,2,
624	NM_001126628	GL172637	-	5133025	5179773	5135511	5179662	25	5133025,5136844,5137498,5139252,5140080,5140794,5142312,5143066,5144762,5145011,5147401,5148309,5149770,5157433,5162395,5163231,5164549,5165674,5165818,5166095,5166529,5169057,5169398,5170675,5179635,	5135658,5136996,5137655,5139332,5140150,5141093,5142348,5143175,5144849,5145203,5147599,5148471,5149843,5157519,5162552,5163377,5164756,5165734,5165944,5166158,5166625,5169105,5169488,5170720,5179773,	0	eps15	cmpl	cmpl	0,1,0,1,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,
626	NM_001011243	GL172637	+	5409294	5420047	5413340	5419735	6	5409294,5413333,5415153,5416069,5418460,5419688,	5409339,5413394,5415267,5416271,5418520,5420047,	0	btf3l4	cmpl	cmpl	-1,0,0,0,1,1,
627	NM_001017140	GL172637	+	5525837	5532601	5525844	5532440	10	5525837,5527591,5527940,5528152,5528361,5528875,5529664,5530526,5530711,5532397,	5525974,5527751,5528062,5528238,5528472,5528985,5529691,5530627,5530760,5532601,	0	prpf38a	cmpl	cmpl	0,1,2,1,0,0,2,2,1,2,
627	NM_001078936	GL172637	+	5592886	5600475	5592896	5600086	3	5592886,5598302,5599922,	5593025,5598564,5600475,	0	gpx7	cmpl	cmpl	0,0,1,
629	NM_001113907	GL172637	-	5832001	5847325	5832137	5847171	10	5832001,5832945,5833188,5833550,5835305,5836561,5837593,5840676,5845943,5847044,	5832215,5832993,5833239,5833738,5835362,5836654,5837680,5840764,5846011,5847325,	0	echdc2	cmpl	cmpl	0,0,0,1,1,1,1,0,1,0,
629	NM_001015795	GL172637	+	5847560	5867107	5847581	5866475	16	5847560,5850330,5851488,5851688,5852613,5853297,5853827,5855571,5856304,5856914,5857242,5859577,5860471,5861990,5865724,5866379,	5847632,5850382,5851560,5851820,5852678,5853424,5853891,5855658,5856455,5857062,5857350,5859734,5860562,5862120,5865804,5867107,	0	scp2	cmpl	cmpl	0,0,1,1,1,0,1,2,2,0,1,1,2,0,1,0,
629	NM_001078937	GL172637	-	5805468	5807987	5805484	5807936	3	5805468,5807083,5807830,	5805933,5807224,5807987,	0	selrc1	cmpl	cmpl	1,1,0,
630	NM_203862	GL172637	+	5946574	5952452	5946606	5952187	6	5946574,5946988,5947155,5948779,5951858,5952320,	5946761,5947069,5947262,5950084,5952280,5952452,	0	cpt2	cmpl	cmpl	0,2,2,1,1,-1,
631	NM_001044465	GL172637	-	6078240	6085906	6078538	6083976	7	6078240,6080762,6081906,6083884,6084781,6085645,6085873,	6078675,6080858,6082085,6084011,6084901,6085756,6085906,	0	glis1	cmpl	cmpl	1,1,2,0,-1,-1,-1,
632	NM_001044511	GL172637	-	6223217	6228020	6223790	6227919	5	6223217,6224828,6225770,6226477,6227818,	6223889,6224872,6225839,6226584,6228020,	0	hspb11	cmpl	cmpl	0,1,1,2,0,
632	NM_001102795	GL172637	-	6271218	6283501	6272683	6283469	6	6271218,6274022,6279077,6280182,6281316,6283391,	6272998,6274201,6279431,6280521,6281650,6283501,	0	cdcp2	cmpl	cmpl	0,1,1,1,0,0,
632	NM_001126647	GL172637	+	6263308	6270427	6263387	6269908	4	6263308,6264448,6267765,6269719,	6263486,6264590,6267959,6270427,	0	LOC100145141	cmpl	cmpl	0,0,1,0,
632	NM_001017112	GL172637	+	6263356	6270397	6263387	6269908	4	6263356,6264448,6267765,6269719,	6263486,6264590,6267959,6270397,	0	LOC549866	cmpl	cmpl	0,0,1,0,
632	NM_001127135	GL172637	-	6254208	6263189	6254971	6263165	8	6254208,6256459,6256981,6257217,6258621,6259509,6261999,6263012,	6255127,6256568,6257096,6257302,6258774,6259604,6262105,6263189,	0	tmem59	cmpl	cmpl	0,2,1,0,0,1,0,0,
632	NM_001256297	GL172637	+	6210938	6222386	6210938	6222382	4	6210938,6211475,6216482,6222316,	6211287,6211619,6216682,6222386,	0	dio1	cmpl	cmpl	0,1,1,0,
633	NM_203877	GL172637	-	6312861	6344355	6314253	6343970	19	6312861,6313598,6314961,6315832,6316872,6318569,6319047,6319328,6319975,6320116,6321076,6321235,6321626,6322318,6322655,6338594,6339388,6340255,6343966,	6313587,6314283,6315063,6315861,6316951,6318640,6319102,6319364,6320024,6320196,6321153,6321299,6321686,6322399,6322745,6338679,6339450,6340328,6344355,	0	ssbp3	cmpl	cmpl	-1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,2,0,2,0,
634	NM_001126616	GL172637	+	6469136	6471373	6470454	6471263	2	6469136,6470454,	6469187,6471373,	0	pars2	incmpl	cmpl	-1,0,
634	NM_001016800	GL172637	-	6505671	6518302	6505998	6516294	9	6505671,6508166,6509223,6510697,6511794,6512165,6515135,6516063,6518201,	6506152,6508345,6509421,6510841,6512058,6512285,6515293,6516312,6518302,	0	dhcr24	cmpl	cmpl	2,0,0,0,0,0,0,0,-1,
635	NM_001017253	GL172637	-	6587026	6618200	6587595	6618135	8	6587026,6589173,6589564,6590322,6590622,6591169,6600768,6618024,	6587784,6589371,6589636,6590406,6590727,6591280,6600861,6618200,	0	rabgap1l	cmpl	cmpl	0,0,0,0,0,0,0,0,
635	NM_001044445	GL172637	-	6558390	6566147	6559000	6562948	5	6558390,6559622,6561708,6562774,6566125,	6559075,6560168,6561960,6563045,6566147,	0	cenpl	cmpl	cmpl	0,0,0,0,-1,
637	NM_001011170	GL172637	+	6881606	6896114	6881695	6895645	6	6881606,6883614,6890389,6891896,6893519,6895488,	6881716,6883825,6890486,6891996,6893614,6896114,	0	cacybp	cmpl	cmpl	0,0,1,2,0,2,
637	NM_001008152	GL172637	+	6837781	6851485	6842514	6851233	7	6837781,6842512,6843993,6844585,6848420,6849452,6851056,	6837889,6842895,6844209,6844723,6848814,6849517,6851485,	0	serpinc1	cmpl	cmpl	-1,0,0,0,0,1,0,
9	NM_001112922	GL172638	-	2854824	3162318	2855010	3162252	5	2854824,2966914,2973059,3083363,3162147,	2855171,2967064,2973231,3083498,3162318,	0	LOC100127543	cmpl	cmpl	1,1,0,0,0,
73	NM_001123449	GL172638	+	457190	644980	487772	644766	28	457190,473184,487683,496262,509798,517275,529449,537163,539329,546333,551659,555315,560395,579047,583082,587217,591769,596240,606222,612561,614529,617122,619482,631736,635784,635989,638036,644670,	457393,473309,487775,496380,509860,517321,529575,537208,539373,546390,551712,555521,560445,579107,583237,587355,591837,596388,606315,612641,614610,617228,619641,631841,635898,636097,638159,644980,	0	itgav	cmpl	cmpl	-1,-1,0,0,1,0,1,1,1,0,0,2,1,1,1,0,0,2,0,0,2,2,0,0,0,0,0,0,
73	NM_001102885	GL172638	-	894166	922578	894539	920047	12	894166,896596,898581,903428,906414,909178,913972,915306,917624,918608,919873,922511,	894701,896775,898756,903674,906514,909347,914066,915402,917707,918861,920049,922578,	0	hspd1	cmpl	cmpl	0,1,0,0,2,1,0,0,1,0,0,-1,
73	NM_001016105	GL172638	+	359118	424974	359223	424588	10	359118,378144,385425,391468,392312,411004,411869,413722,415304,424406,	359301,378246,385537,391621,392404,411187,412016,413824,415434,424974,	0	zc3h15	cmpl	cmpl	0,0,0,1,1,0,0,0,0,1,
74	NM_001102917	GL172638	+	1811252	1864130	1821445	1862203	4	1811252,1821438,1851963,1862067,	1811319,1821619,1852115,1864130,	0	ormdl1	cmpl	cmpl	-1,0,0,2,
74	NM_001016834	GL172638	-	1275208	1388272	1275387	1380094	19	1275208,1278175,1282553,1292239,1295911,1299923,1305858,1325626,1326823,1327704,1329516,1332410,1338366,1340812,1356905,1357270,1364255,1380041,1388151,	1275701,1278245,1282776,1292337,1295990,1300072,1305996,1325677,1326963,1327755,1329631,1332575,1338469,1340889,1357126,1357595,1364400,1380146,1388272,	0	rnf216	cmpl	cmpl	1,0,2,0,2,0,0,0,1,1,0,0,2,0,1,0,2,0,-1,
77	NM_001113844	GL172638	-	4438658	4483020	4439116	4482972	13	4438658,4440766,4444519,4446680,4448593,4449757,4450706,4452144,4452880,4454079,4459161,4460584,4482720,	4439233,4443344,4444613,4446825,4448738,4449992,4450931,4452311,4453015,4454260,4459323,4460713,4483020,	0	tulp4	cmpl	cmpl	0,2,0,2,1,0,0,1,1,0,0,0,0,
77	NM_001127072	GL172638	+	4549923	4625837	4549984	4625409	17	4549923,4587364,4591365,4592068,4594143,4598260,4600112,4601735,4605037,4609754,4615241,4616469,4619372,4620615,4624251,4624452,4625361,	4549996,4587451,4591440,4592170,4594300,4598402,4600197,4601861,4605156,4609862,4615345,4616547,4619449,4620705,4624366,4624544,4625837,	0	snx9	cmpl	cmpl	0,0,0,0,0,1,2,0,0,2,2,1,1,0,0,1,0,
78	NM_001017113	GL172638	-	5889630	5928596	5892187	5926457	7	5889630,5891683,5895442,5899076,5908775,5926176,5928566,	5889903,5892208,5895593,5899178,5908939,5926643,5928596,	0	srd5a2	cmpl	cmpl	-1,0,1,1,2,0,-1,
79	NM_001142185	GL172638	-	7074770	7138496	7078245	7138407	15	7074770,7078801,7083353,7084665,7085577,7085971,7087104,7089908,7096634,7099913,7100513,7110145,7110620,7117241,7138137,	7078415,7078890,7083521,7084787,7085625,7086147,7087155,7090052,7096745,7100043,7100649,7110313,7110703,7117346,7138496,	0	strn	cmpl	cmpl	1,2,1,2,2,0,0,1,1,0,2,2,0,0,0,
79	NM_001079571	GL172638	-	6929538	6950285	6930946	6950087	16	6929538,6931717,6933438,6934386,6934783,6936025,6936311,6937601,6940245,6940460,6941504,6942698,6943057,6944781,6947393,6950057,	6930990,6931779,6933532,6934486,6934924,6936105,6936557,6937825,6940376,6940612,6941580,6942826,6943187,6944958,6947585,6950285,	0	gnpat	cmpl	cmpl	1,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,
79	NM_001097410	GL172638	+	7205687	7214915	7205724	7214631	7	7205687,7206635,7207569,7210858,7212301,7213509,7214500,	7205893,7206745,7207659,7210985,7212396,7213666,7214915,	0	LOC100038305	cmpl	cmpl	0,1,0,0,1,0,1,
586	NM_001016961	GL172638	+	191937	239842	191968	239713	6	191937,192643,209077,226894,229741,239613,	192304,192799,209444,227081,230239,239842,	0	tbccd1	cmpl	cmpl	0,0,0,1,2,2,
590	NM_001016893	GL172638	-	661304	786245	663454	766544	15	661304,661880,662891,669928,674954,678007,678162,679992,695520,701228,718223,738075,753612,766475,786174,	661866,662875,663673,669970,675173,678074,678223,680146,695647,701320,718336,738186,753757,766559,786245,	0	calcrl	cmpl	cmpl	-1,-1,0,0,0,2,1,0,2,0,1,1,0,0,-1,
591	NM_001017210	GL172638	+	806255	851138	806260	850880	8	806255,817799,821602,829688,836523,839942,842271,850748,	806320,817862,821703,829731,836610,840022,842383,851138,	0	mob4	cmpl	cmpl	0,0,0,2,0,0,2,0,
591	NM_001006877	GL172638	+	857063	881966	857154	881741	9	857063,864881,870422,872003,876560,877604,878602,879433,881730,	857190,865027,870585,872192,876676,877691,878662,879507,881966,	0	tra2b	cmpl	cmpl	0,0,2,0,0,2,2,2,1,
592	NM_213719	GL172638	-	956728	960933	957184	959866	6	956728,957417,957700,958514,959743,960907,	957328,957599,958139,958754,959872,960933,	0	actb	cmpl	cmpl	0,1,0,0,0,-1,
592	NM_001006881	GL172638	+	923092	929869	923152	929780	4	923092,926773,929551,929729,	923155,926938,929641,929869,	0	hspe1	cmpl	cmpl	0,0,0,0,
594	NM_203797	GL172638	+	1229659	1255901	1229700	1254851	5	1229659,1243345,1252708,1253746,1254648,	1230505,1243502,1252830,1253914,1255901,	0	fscn1	cmpl	cmpl	0,1,2,1,1,
596	NM_001142085	GL172638	-	1463780	1477179	1463843	1477179	9	1463780,1464981,1468410,1470260,1472015,1472671,1473318,1474989,1477037,	1463939,1465131,1468593,1470494,1472279,1472754,1473587,1475075,1477179,	0	kpna7	cmpl	incmpl	0,0,0,0,0,1,2,0,2,
597	NM_001017095	GL172638	+	1593463	1596899	1593471	1596820	4	1593463,1595194,1595794,1596791,	1593487,1595302,1595911,1596899,	0	atp5j2	cmpl	cmpl	0,1,1,1,
597	NM_001007932	GL172638	-	1601129	1611482	1601474	1610980	9	1601129,1603781,1604036,1604781,1604964,1605510,1607455,1610877,1611305,	1601543,1603952,1604109,1604875,1605060,1605663,1607506,1611134,1611482,	0	cpsf4	cmpl	cmpl	0,0,2,1,1,1,1,0,-1,
598	NM_001142901	GL172638	-	1724336	1805884	1724418	1805862	12	1724336,1725485,1730540,1734927,1736130,1740159,1741835,1749394,1774213,1792737,1804330,1805730,	1724583,1725646,1730671,1735407,1736993,1740303,1741958,1749511,1774377,1792840,1804513,1805884,	0	pms1	cmpl	cmpl	0,1,2,2,0,0,0,0,1,0,0,0,
599	NM_001159987	GL172638	+	1871623	1898661	1871696	1898445	7	1871623,1882053,1886411,1891209,1893508,1897830,1898366,	1871890,1882441,1886616,1891358,1893639,1897902,1898661,	0	osgepl1	cmpl	cmpl	0,2,0,1,0,2,2,
600	NM_001126564	GL172638	+	2030704	2078451	2040251	2078040	9	2030704,2040244,2046797,2049260,2053497,2066360,2068866,2071793,2077922,	2030732,2040437,2046887,2049340,2053613,2066458,2068935,2071852,2078451,	0	LOC100145002	cmpl	cmpl	-1,0,0,0,2,1,0,0,2,
601	NM_001097277	GL172638	+	2167519	2183177	2167521	2183163	8	2167519,2167644,2173037,2173752,2175886,2176499,2180283,2182843,	2167561,2167712,2173197,2173868,2176013,2176742,2180940,2183177,	0	slc40a1	cmpl	cmpl	0,1,0,1,0,1,1,1,
602	NM_001045788	GL172638	-	2235400	2272379	2236449	2272355	18	2235400,2237285,2239729,2240021,2241306,2248047,2249776,2251620,2255476,2259457,2260835,2261532,2262249,2263872,2264124,2268208,2269105,2272266,	2236650,2237354,2239789,2240191,2241402,2248142,2249957,2251784,2255658,2259573,2260895,2261691,2262338,2263989,2264195,2268333,2269204,2272379,	0	wdr75	cmpl	cmpl	0,0,0,1,1,2,1,2,0,1,1,1,2,2,0,1,1,0,
604	NM_001142907	GL172638	-	2498021	2554575	2498756	2554461	46	2498021,2500140,2500620,2501048,2501690,2502084,2503052,2503250,2503749,2505604,2507497,2507905,2509025,2509193,2510037,2511361,2512002,2512676,2513717,2516577,2516724,2517011,2517174,2517909,2518124,2518335,2519520,2519727,2520825,2522928,2523080,2523382,2523554,2523953,2526389,2526967,2528402,2528975,2530146,2531683,2533392,2536797,2538117,2539229,2540414,2554376,	2498903,2500383,2500808,2501343,2501798,2502138,2503158,2503304,2503857,2505712,2507659,2507959,2509079,2509301,2510091,2511417,2512102,2512721,2513771,2516631,2516778,2517065,2517273,2517963,2518223,2518389,2519628,2519781,2520924,2522973,2523179,2523436,2523599,2524007,2526434,2527021,2528456,2529029,2530200,2531737,2533446,2536878,2538228,2539289,2540614,2554575,	0	col3a1	cmpl	cmpl	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
613	NM_001011265	GL172638	+	3718035	3759067	3734761	3758784	9	3718035,3734701,3737419,3742448,3744261,3754881,3756155,3756788,3758692,	3718138,3734939,3737589,3742610,3744415,3754984,3756231,3756987,3759067,	0	agpat4	cmpl	cmpl	-1,0,1,0,0,1,2,0,1,
614	NM_001142190	GL172638	+	3884798	3929236	3885105	3926264	13	3884798,3898114,3905731,3906869,3907334,3907857,3908979,3912235,3914687,3916062,3916990,3924682,3925968,	3885157,3898278,3905934,3906957,3907376,3907977,3909039,3912304,3914834,3916187,3917190,3924772,3929236,	0	cnksr3	cmpl	cmpl	0,1,0,2,0,0,0,0,0,0,2,1,1,
616	NM_001128011	GL172638	+	4138413	4180974	4138554	4180645	20	4138413,4145350,4147091,4147522,4149109,4150787,4151945,4152700,4154795,4157020,4157846,4161368,4162412,4172481,4173748,4175064,4176341,4178020,4179405,4180618,	4138767,4145420,4147210,4147656,4149278,4150871,4152031,4152778,4154956,4157178,4158055,4161405,4162493,4172539,4173813,4175133,4176420,4178137,4179467,4180974,	0	capn9	cmpl	cmpl	0,0,1,0,2,0,0,2,2,1,0,2,0,0,1,0,0,1,1,0,
616	NM_001006778	GL172638	-	4185080	4191785	4185157	4189392	5	4185080,4187817,4188979,4189250,4191608,	4185952,4188542,4189084,4189395,4191785,	0	taf5l	cmpl	cmpl	0,1,1,0,-1,
